Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021,,,,
Symbol,Company Name,Weight,Identifier,Shares Held
GFI,Gold Fields Ltd,6.91%,35012607,
PAAS,Pan American Silver Corp,5.92%,10749802,
EVN.AX,EVOLUTION FPO,4.47%,67726274,
AUY,YAMANA GOLD,4.22%,48744757,
BTG,B2Gold Corp,3.81%,44079162,
EDV.TO,ENDEAVOUR MINING CORP,3.05%,7677711,
HL,Hecla Mining Co,3.01%,20905748,
SSRM,SSR Mining Inc,2.95%,9587612,
AG,FIRST MAJESTIC,2.79%,9716306,
AGI,Alamos Gold Inc,2.72%,18050376,
HMY,Harmony Gold Mining Co Ltd,2.09%,23002849,
EQX,Equinox Gold Corp,1.96%,13016631,
NG,NOVAGOLD RESOURCES INC,1.87%,11419593,
,Merdeka Copper Gold Tbk Pt,1.85%,603793600,
BVN,Cia de Minas Buenaventura SAA,1.83%,9632500,
CDE,Coeur Mining Inc,1.70%,10214264,
,Industrias Penoles Sab De Cv,1.68%,7076986,
EGO,ELDORADO GOLD,1.51%,7932617,
SAND,SAND,1.39%,9982494,
PVG,Pretium Resources Inc,1.38%,7227401,
MAG,Mag Silver Corp,1.26%,3813006,
IAG,IAMGOLD Corp,1.24%,21024426,
OR,Osisko Gold Royalties Ltd,1.22%,5286822,
CEY.LN,CENTAMIN ORD,1.22%,43162351,
KNT.TO,K92 Mining Inc,1.16%,10451279,
OGC.TO,Oceanagold Corp,1.13%,32352513,
GGP.LN,Greatland Gold Plc,1.13%,224064194,
SILV,Silvercrest Metals Inc,1.11%,7213541,
CG.TO,CENTERRA GOLD,1.10%,8667663,
DEG.AX,De Grey Mining Ltd,1.09%,58504415,
WDO.TO,WESDOME GOLD MINES LTD,1.07%,6807232,
SA,SA,1.04%,3409959,
FSM,Fortuna Silver Mines Inc,1.03%,9417167,
NGD,NEW GOLD,1.03%,32443402,
RRL.AX,REGIS RESOURCES LTD,0.99%,30444804,
,Zhaojin Mining Industry Co Ltd,0.98%,53968000,
PRU.AX,PERSEUS MINING LTD,0.97%,58476453,
EXK,ENDEAVOUR SILV,0.95%,8656653,
SLR.AX,Silver Lake Resources Ltd,0.94%,38994270,
SVM,Silvercorp Metals Inc,0.89%,8864142,
RMS.AX,RAMELIUS RESOURCES LTD,0.86%,36473621,
DPM.TO,DUNDEE PREC MT,0.79%,6647531,
TXG.TO,TOREX GOLD RESOURCES INC,0.78%,3198705,
POG.LN,Petropavlovsk PLC,0.78%,131848241,
HOC.LN,HOCHSCHILD MINING,0.76%,16826106,
LUG.TO,LUNDIN GOLD INC,0.76%,4503986,
GOR.AX,Gold Road Resources Ltd,0.74%,41954093,
SBM.AX,ST BARBARA LTD,0.71%,32010136,
,Koza Altin Isletmeleri As,0.68%,2628100,
OSK.TO,OSISKO MINING INC,0.65%,14777857,
AR.TO,Argonaut Gold Inc,0.65%,15376476,
OLA.TO,Orla Mining Ltd,0.54%,7395050,
,Great Bear Resources Ltd,0.50%,2521490,
WAF.AX,West African Resources Ltd,0.48%,36512739,
ROXG.TO,ROXGOLD INC,0.47%,15501173,
MUX,MCEWEN MININ I,0.47%,20838551,
NUAG.TO,New Pacific Metals Corp,0.45%,4851357,
DRD,DRDGOLD LIMITE,0.45%,2185313,
VGCX.TO,Victoria Gold Corp,0.44%,1748804,
MOZ.TO,Marathon Gold Corp,0.43%,10420935,
KRR.TO,Karora Resources Inc,0.43%,7645403,
WGX.AX,Westgold Resources Ltd,0.41%,15339414,
SKE.TO,Skeena Resources Ltd,0.39%,8471643,
BGL.AX,Bellevue Gold Ltd,0.37%,33249864,
,Discovery Silver Corp,0.37%,11735224,
AXU,ALEXCO RESOURCE CORP,0.36%,7279753,
,Pure Gold Mining Inc,0.33%,14941513,
,New Found Gold Corp,0.33%,2647759,
AMI.AX,Aurelia Metals Ltd,0.33%,62396957,
,Other/Cash,0.32%,19000004,
NVO.TO,NOVO RESOURCES CORP,0.31%,9924457,
SBB.TO,SABINA GOLD & SILVER CORP,0.30%,12568833,
WM.TO,Wallbridge Mining Co Ltd,0.29%,32626412,
RSG.AX,RESOLUTE MINING LTD,0.29%,38047731,
LGD.TO,Liberty Gold Corp,0.27%,11872844,
MTA,Metalla Royalty & Streaming Ltd,0.27%,1578347,
GATO,Gatos Silver Inc,0.27%,1155915,
GPL,Great Panther Mining Ltd,0.27%,19154637,
RED.AX,Red 5 Ltd,0.27%,103783532,
ALK.AX,Alkane Resources Ltd,0.25%,23599366,
MMX,Maverix Metals Inc,0.23%,2339879,
GCM.TO,Gran Colombia Gold Corp,0.23%,3090857,
GLDG,Goldmining Inc,0.23%,8031243,
SVL.AX,Silver Mines Ltd,0.22%,58513495,
JAG.TO,Jaguar Mining Inc,0.20%,2114464,
GAU,Galiano Gold Inc,0.20%,9275182,
GSS,GOLDEN STAR RESOURCES LTD,0.19%,3261138,
GORO,Gold Resource Corp,0.19%,4019575,
USAS,Americas Gold & Silver Corp,0.17%,6045827,
GSV,Gold Standard Ventures Corp,0.16%,14988528,
FVL.TO,Freegold Ventures Ltd,0.15%,14526294,
IAU.TO,I-80 Gold Corp,0.13%,3529126,
DCN.AX,Dacian Gold Ltd,0.12%,28685059,
CMCL,CALEDONIA MINING CORP,0.11%,431616,
GDXJ,Market Vectors Junior Gold Miners ETF,0.00%,0,
SMC.TO,Sulliden Mining Capital Inc,0.00%,1694754,
,Real Gold Mining Ltd,0.00%,19287400,
ASM.AX,Australian Strategic Materials Ltd,0.00%,1,
,Other/Cash,0.00%,0,
Downloaded from Barchart.com as of 05-21-2021 02:35pm CDT,,,,
