Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021,,,,
Symbol,Company Name,Weight,Identifier,Shares Held
AAPL,Apple Inc,11.07%,136406262,
MSFT,Microsoft Corp,9.70%,61281629,
AMZN,Amazon.com Inc,8.61%,4091636,
GOOG,Alphabet Inc,4.00%,2661522,
FB,Facebook  Inc.,3.99%,19544509,
GOOGL,Alphabet Inc,3.61%,2443643,
TSLA,Tesla Inc,3.54%,9651336,
NVDA,NVIDIA Corp,2.81%,7665927,
PYPL,PayPal Holdings Inc,2.31%,14480789,
CMCSA,Comcast Corp,2.00%,56519605,
ADBE,Adobe Inc,1.85%,5918779,
INTC,Intel Corp,1.81%,50235880,
CSCO,Cisco Systems Inc,1.78%,52199190,
NFLX,Netflix Inc,1.74%,5475865,
PEP,PepsiCo Inc,1.62%,17057706,
AVGO,BROADCOM INC,1.45%,5047233,
COST,Costco Wholesale Corp,1.35%,5476773,
TXN,TEXAS INSTRUME,1.35%,11378039,
TMUS,T-Mobile US Inc,1.34%,15366399,
QCOM,QUALCOMM Inc,1.20%,14045656,
AMGN,Amgen Inc,1.16%,7141254,
CHTR,Charter Communications Inc,1.06%,2395424,
SBUX,SBUX,1.04%,14556497,
INTU,Intuit Inc,0.93%,3385893,
AMAT,Applied Materials Inc,0.92%,11346352,
ISRG,Intuitive Surgic,0.77%,1455429,
BKNG,BOOKING HOLDIN,0.75%,506498,
AMD,Advanced Micro Devices,0.74%,14977216,
MU,MICRON TECH,0.72%,13831581,
MDLZ,MONDELEZ INT C,0.71%,17459661,
GILD,GILEAD SCI,0.69%,15536897,
LRCX,Lam Research Corp,0.69%,1767056,
ADP,Automatic Data Processing Inc,0.66%,5291209,
FISV,Fiserv  Inc.,0.61%,8277531,
CSX,CSX Corp,0.60%,9427865,
ATVI,Activision Blizzard Inc,0.59%,9579287,
ZM,Zoom Video Communications Inc,0.59%,2896183,
MELI,MercadoLibre Inc,0.53%,616526,
MRNA,Moderna Inc,0.51%,4942679,
ADSK,Autodesk Inc,0.49%,2718837,
JD,JD.com Inc ADR,0.47%,10270603,
ADI,Analog Devices Inc,0.46%,4560908,
ILMN,ILLUMINA INC,0.45%,1804016,
VRTX,Vertex Pharmaceuticals Inc,0.45%,3214277,
NXPI,NXP Semiconductor NV,0.44%,3425094,
REGN,Regeneron Pharmaceuticals Inc,0.43%,1301642,
KHC,Kraft Heinz Co/The,0.43%,15123543,
BIDU,Baidu Inc,0.41%,3355262,
KDP,Keurig Dr Pepper Inc,0.41%,17399654,
ASML,ASML Holding NV,0.40%,961081,
MNST,Monster Beverage Corp,0.39%,6527270,
WBA,Walgreens Boots Alliance Inc,0.38%,10683221,
KLAC,KLA Corp,0.38%,1904990,
MAR,Marriott International Inc,0.36%,4011108,
ALGN,ALIGN TECHNOLOGY INC,0.36%,978332,
IDXX,IDEXX Laboratories Inc,0.36%,1056186,
ROST,Ross Stores Inc,0.36%,4407480,
EXC,EXELON CORP,0.36%,12071516,
PDD,Pinduoduo Inc,0.35%,4271518,
BIIB,BIOGEN INC,0.35%,1883425,
AEP,American Electric Power Co Inc,0.34%,6140208,
EBAY,EBAY INC,0.33%,8413148,
WDAY,Workday Inc,0.33%,2225316,
EA,ELECTRONIC ART,0.32%,3556319,
MCHP,MICROCHIP TECH,0.32%,3329306,
LULU,Lululemon Athletica Inc,0.31%,1547129,
ALXN,Alexion Pharmaceuticals,0.31%,2718311,
ORLY,OReilly Automotive Inc,0.31%,868074,
XEL,Xcel Energy Inc,0.31%,6647785,
CTSH,Cognizant Technology Solutions Corp,0.30%,6560748,
MTCH,Match Group Inc,0.30%,3325623,
SNPS,SYNOPSYS INC,0.29%,1883900,
CTAS,Cintas Corp,0.29%,1298683,
PAYX,Paychex Inc,0.29%,4458901,
DOCU,DocuSign Inc,0.29%,2306645,
CDNS,CADENCE DESIGN SYS INC COMMON STOCK USD.01,0.28%,3449287,
NTES,NetEase Inc,0.27%,3704402,
DXCM,DEXCOM,0.26%,1189105,
PCAR,PACCAR Inc,0.26%,4289640,
MRVL,Marvell Technology Group Ltd,0.24%,8306319,
FAST,FASTENAL,0.24%,7101331,
XLNX,Xilinx Inc,0.24%,3032720,
TEAM,Atlassian Corp PLC,0.23%,1644622,
CPRT,Copart Inc,0.23%,2921695,
ANSS,ANSYS Inc,0.23%,1072507,
VRSK,Verisk Analytics Inc,0.23%,2012846,
OKTA,Okta Inc,0.22%,1498816,
SWKS,Skyworks Solutions Inc,0.22%,2038849,
SGEN,Seattle Genetics Inc,0.22%,2239972,
DLTR,DOLLAR TREE IN,0.21%,2908007,
PTON,Peloton Interactive Inc,0.21%,3259687,
MXIM,MAXIM INTEGRATED PRODUCTS,0.20%,3314063,
VRSN,VeriSign Inc,0.20%,1398260,
SIRI,SIRI,0.19%,51187502,
CERN,Cerner Corp,0.19%,3787194,
CDW,CDW Corp,0.19%,1743228,
TCOM,Trip.com Group Ltd ADR,0.17%,6514064,
SPLK,Splunk Inc,0.15%,1999509,
INCY,INCYTE CORP,0.15%,2718255,
CHKP,Check Point Software Technologies Ltd,0.13%,1733442,
FOXA,Fox Corp,0.10%,4133947,
FOX,Fox Corp,0.08%,3167714,
QQQ,Invesco QQQ 1,0.00%,0,
Downloaded from Barchart.com as of 05-21-2021 12:14pm CDT,,,,
