Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021,,,,
Symbol,Company Name,Weight,Identifier,Shares Held
AAPL,Apple Inc.,5.65%,157983330,
MSFT,Microsoft Corp,5.26%,75505784,
AMZN,Amazon.com Inc.,3.97%,4284967,
FB,Facebook  Inc.,2.16%,24081196,
GOOGL,Alphabet Inc Cl A,1.96%,3010720,
GOOG,Alphabet Inc,1.91%,2885642,
BRK.B,BERKSHIRE HATHAWAY INC,1.57%,19088036,
JPM,JPMORGAN CHASE,1.41%,30548932,
JNJ,Johnson & Johnson,1.28%,26316022,
TSLA,Tesla Inc,1.24%,7687287,
UNH,UnitedHealth Group Inc,1.11%,9463708,
V,Visa Inc,1.09%,16979952,
NVDA,NVIDIA Corp,1.00%,6206827,
HD,Home Depot Inc,0.97%,10778053,
PG,PROCTER & GAMB,0.97%,24651962,
BAC,Bank Of America Corp,0.91%,76056350,
MA,MasterCard Inc,0.91%,8777540,
DIS,Walt Disney Co,0.88%,18172772,
PYPL,PayPal Holdings Inc,0.82%,11724735,
XOM,EXXON MOBIL,0.72%,42381892,
CMCSA,Comcast Corporation Class A,0.71%,45762830,
VZ,VERIZON COMMS,0.68%,41427452,
ADBE,Adobe Inc,0.66%,4798581,
INTC,Intel Corp,0.65%,40675116,
PFE,Pfizer Inc,0.64%,55838244,
CSCO,Cisco Systems Inc,0.64%,42264628,
NFLX,Netflix Inc,0.62%,4434707,
KO,Coca-Cola Company,0.60%,38826764,
T,AT&T Inc.,0.59%,71396890,
ABT,Abbott Laboratories,0.59%,17734968,
ABBV,AbbVie Inc,0.59%,17682706,
CRM,Salesforce.Com Inc,0.58%,9189721,
MRK,MERCK & CO,0.58%,25337236,
PEP,PepsiCo Inc,0.58%,13814594,
CVX,Chevron Corp,0.57%,19295054,
WMT,WALMART INC,0.56%,13882121,
WFC,WELLS FARGO &,0.55%,41397030,
AVGO,BROADCOM INC,0.52%,4087823,
TMO,Thermo Fisher Scientific Inc,0.52%,3943081,
ACN,Accenture PLC,0.51%,6351045,
MCD,MCDONALDS COR,0.49%,7465614,
MDT,Medtronic Inc,0.49%,13499047,
NKE,NIKE Inc,0.49%,12732007,
COST,Costco Wholesale Corporation,0.48%,4432690,
TXN,TEXAS INSTRUME,0.48%,9214969,
C,Citigroup Inc,0.46%,20901420,
DHR,DANAHER,0.45%,6347146,
LLY,ELI LILLY,0.45%,7965716,
LIN,LIN Media LLC,0.44%,5235236,
UPS,United Parcel Service Inc,0.44%,7203151,
HON,Honeywell International,0.44%,6964531,
PM,PHILIP MORRIS,0.43%,15594295,
UNP,Union Pacific Corp,0.43%,6707418,
QCOM,QUALCOMM Inc,0.43%,11375498,
BMY,Bristol-Myers Squibb Co,0.42%,22435114,
ORCL,Oracle Corp,0.42%,18572526,
AMGN,Amgen Inc.,0.41%,5783421,
NEE,NEXTERA ENERGY,0.41%,19625248,
LOW,Lowes Companies Inc,0.40%,7319869,
RTX,Raytheon Technologies Corp,0.37%,15211630,
CAT,Caterpillar Inc,0.37%,5460359,
SBUX,SBUX,0.37%,11788761,
MS,Morgan Stanley,0.37%,15023106,
IBM,International Business Machines Corp,0.37%,8945833,
GS,GOLDM SACHS GR,0.35%,3444548,
BA,BOEING CO,0.35%,5492286,
BLK,BLACKROCK INC,0.34%,1420952,
MMM,3M,0.34%,5797369,
CVS,CVS Health Corporation,0.34%,13131445,
INTU,Intuit Inc,0.33%,2742132,
GE,GENERAL ELEC C,0.33%,87776650,
AMAT,Applied Materials Inc.,0.33%,9186720,
DE,Deere & Co,0.32%,3137924,
AMT,American Tower Corporation,0.32%,4543025,
TGT,Target Corp,0.31%,5015376,
SCHW,Charles Schwab Corp,0.31%,14985784,
AXP,American Express Company,0.29%,6534043,
ANTM,Anthem Inc.,0.28%,2452431,
ISRG,Intuitive Surgic,0.28%,1178894,
CHTR,Charter Communications Inc,0.28%,1416270,
LMT,Lockheed Martin Corp,0.27%,2468274,
BKNG,BOOKING HOLDIN,0.27%,410254,
CI,Cigna Corp,0.27%,3523259,
