"Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021",
"Symbol","Company Name","Weight","Identifier","Shares Held",
"LIN","LINDE PLC COMMON STOCK EUR.001","15.58%","G5494J103","4,802,282",
"SHW","SHERWIN WILLIAMS CO/THE COMMON STOCK USD1.0","6.92%","824348106","2,222,135",
"APD","AIR PRODUCTS + CHEMICALS INC COMMON STOCK USD1.0","6.63%","009158106","2,032,396",
"FCX","FREEPORT MCMORAN INC COMMON STOCK USD.1","6.12%","35671D857","13,396,308",
"ECL","ECOLAB INC COMMON STOCK USD1.0","5.51%","278865100","2,284,117",
"DOW","DOW INC COMMON STOCK USD.01","5.07%","260557103","6,845,086",
"NEM","NEWMONT CORP COMMON STOCK USD1.6","4.74%","651639106","6,319,886",
"DD","DUPONT DE NEMOURS INC COMMON STOCK USD.01","4.39%","26614N102","4,945,028",
"PPG","PPG INDUSTRIES INC COMMON STOCK USD1.67","4.29%","693506107","2,212,382",
"IFF","INTL FLAVORS + FRAGRANCES COMMON STOCK USD.125","3.51%","459506101","2,322,454",
"CTVA","CORTEVA INC COMMON STOCK USD.01","3.47%","22052L104","6,947,650",
"NUE","NUCOR CORP COMMON STOCK USD.4","3.05%","670346105","2,783,055",
"BLL","BALL CORP COMMON STOCK","2.95%","058498106","3,062,000",
"LYB","LYONDELLBASELL INDU CL A COMMON STOCK EUR.04","2.89%","N53745100","2,402,303",
"VMC","VULCAN MATERIALS CO COMMON STOCK USD1.0","2.56%","929160109","1,237,677",
"IP","INTERNATIONAL PAPER CO COMMON STOCK USD1.0","2.50%","460146103","3,670,588",
"MLM","MARTIN MARIETTA MATERIALS COMMON STOCK USD.01","2.37%","573284106","581,533",
"AMCR","AMCOR PLC COMMON STOCK USD.01","1.97%","G0250X107","14,584,907",
"CE","CELANESE CORP COMMON STOCK USD.0001","1.93%","150870103","1,066,111",
"ALB","ALBEMARLE CORP COMMON STOCK USD.01","1.87%","012653101","1,089,091",
"AVY","AVERY DENNISON CORP COMMON STOCK USD1.0","1.86%","053611109","775,197",
"EMN","EASTMAN CHEMICAL CO COMMON STOCK USD.01","1.76%","277432100","1,268,668",
"WRK","WESTROCK CO COMMON STOCK","1.62%","96145D105","2,460,569",
"FMC","FMC CORP COMMON STOCK USD.1","1.53%","302491303","1,207,832",
"PKG","PACKAGING CORP OF AMERICA COMMON STOCK USD.01","1.49%","695156109","885,400",
"MOS","MOSAIC CO/THE COMMON STOCK USD.01","1.22%","61945C103","3,221,193",
"CF","CF INDUSTRIES HOLDINGS INC COMMON STOCK USD.01","1.16%","125269100","1,998,184",
"SEE","SEALED AIR CORP COMMON STOCK USD.1","0.89%","81211K100","1,446,609",
"","STATE STREET INSTITUTIONAL LIQ STATE ST INST LIQ RES PREM","0.11%","964WKM905","10,017,844",
"","US DOLLAR","0.00%","999USDZ92","2,452",
