"Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021",
"Symbol","Company Name","Weight","Identifier","Shares Held",
"BRK.B","BERKSHIRE HATHAWAY INC CL B COMMON STOCK USD.0033","13.10%","084670702","19,969,244",
"JPM","JPMORGAN CHASE + CO COMMON STOCK USD1.0","11.80%","46625H100","31,959,050",
"BAC","BANK OF AMERICA CORP COMMON STOCK USD.01","7.61%","060505104","79,567,411",
"WFC","WELLS FARGO + CO COMMON STOCK USD1.666","4.59%","949746101","43,297,668",
"C","CITIGROUP INC COMMON STOCK USD.01","3.76%","172967424","21,860,978",
"MS","MORGAN STANLEY COMMON STOCK USD.01","3.05%","617446448","15,716,499",
"GS","GOLDMAN SACHS GROUP INC COMMON STOCK USD.01","2.96%","38141G104","3,603,564",
"BLK","BLACKROCK INC COMMON STOCK USD.01","2.85%","09247X101","1,486,820",
"SCHW","SCHWAB (CHARLES) CORP COMMON STOCK USD.01","2.52%","808513105","15,673,715",
"AXP","AMERICAN EXPRESS CO COMMON STOCK USD.2","2.41%","025816109","6,834,115",
"SPGI","S+P GLOBAL INC COMMON STOCK USD1.0","2.19%","78409V104","2,521,010",
"USB","US BANCORP COMMON STOCK USD.01","2.00%","902973304","14,316,486",
"PNC","PNC FINANCIAL SERVICES GROUP COMMON STOCK USD5.0","1.99%","693475105","4,440,878",
"TFC","TRUIST FINANCIAL CORP COMMON STOCK USD5.0","1.95%","89832Q109","14,109,564",
"CME","CME GROUP INC COMMON STOCK USD.01","1.85%","12572Q105","3,759,991",
"CB","CHUBB LTD COMMON STOCK","1.82%","H1467J104","4,715,216",
"COF","CAPITAL ONE FINANCIAL CORP COMMON STOCK USD.01","1.71%","14040H105","4,809,636",
"MMC","MARSH + MCLENNAN COS COMMON STOCK USD1.0","1.64%","571748102","5,322,319",
"ICE","INTERCONTINENTAL EXCHANGE IN COMMON STOCK USD.01","1.51%","45866F104","5,882,857",
"PGR","PROGRESSIVE CORP COMMON STOCK USD1.0","1.49%","743315103","6,134,673",
"AON","AON PLC CLASS A COMMON STOCK","1.36%","G0403H108","2,366,801",
"MCO","MOODY S CORP COMMON STOCK USD.01","1.27%","615369105","1,685,245",
"MET","METLIFE INC COMMON STOCK USD.01","1.16%","59156R108","7,873,105",
"AIG","AMERICAN INTERNATIONAL GROUP COMMON STOCK USD2.5","1.05%","026874784","9,057,217",
"TROW","T ROWE PRICE GROUP INC COMMON STOCK USD.2","1.03%","74144T108","2,387,373",
"PRU","PRUDENTIAL FINANCIAL INC COMMON STOCK USD.01","1.01%","744320102","4,157,957",
"BK","BANK OF NEW YORK MELLON CORP COMMON STOCK USD.01","1.00%","064058100","8,449,737",
"ALL","ALLSTATE CORP COMMON STOCK USD.01","1.00%","020002101","3,172,358",
"TRV","TRAVELERS COS INC/THE COMMON STOCK NPV","0.95%","89417E109","2,641,570",
"MSCI","MSCI INC COMMON STOCK USD.01","0.91%","55354G100","864,885",
"AFL","AFLAC INC COMMON STOCK USD.1","0.85%","001055102","6,707,220",
"DFS","DISCOVER FINANCIAL SERVICES COMMON STOCK USD.01","0.84%","254709108","3,211,985",
"WLTW","WILLIS TOWERS WATSON PLC COMMON STOCK USD.000304635","0.81%","G96629103","1,350,826",
"FRC","FIRST REPUBLIC BANK/CA COMMON STOCK USD.01","0.79%","33616C100","1,843,171",
"STT","STATE STREET CORP COMMON STOCK USD1.0","0.72%","857477103","3,684,281",
"SIVB","SVB FINANCIAL GROUP COMMON STOCK USD.001","0.72%","78486Q101","565,256",
"AMP","AMERIPRISE FINANCIAL INC COMMON STOCK USD.01","0.71%","03076C106","1,222,725",
"FITB","FIFTH THIRD BANCORP COMMON STOCK","0.71%","316773100","7,446,857",
"AJG","ARTHUR J GALLAGHER + CO COMMON STOCK USD1.0","0.68%","363576109","2,029,142",
"NTRS","NORTHERN TRUST CORP COMMON STOCK USD1.667","0.59%","665859104","2,181,630",
"SYF","SYNCHRONY FINANCIAL COMMON STOCK USD.001","0.59%","87165B103","5,688,231",
"HIG","HARTFORD FINANCIAL SVCS GRP COMMON STOCK USD.01","0.56%","416515104","3,744,316",
"KEY","KEYCORP COMMON STOCK USD1.0","0.53%","493267108","10,146,564",
"RF","REGIONS FINANCIAL CORP COMMON STOCK USD.01","0.52%","7591EP100","10,061,431",
"MTB","M + T BANK CORP COMMON STOCK USD.5","0.51%","55261F104","1,347,345",
"CFG","CITIZENS FINANCIAL GROUP COMMON STOCK USD.01","0.50%","174610105","4,452,228",
"NDAQ","NASDAQ INC COMMON STOCK USD.01","0.44%","631103108","1,208,203",
"CINF","CINCINNATI FINANCIAL CORP COMMON STOCK USD2.0","0.43%","172062101","1,570,094",
"MKTX","MARKETAXESS HOLDINGS INC COMMON STOCK USD.003","0.41%","57060D108","397,978",
"PFG","PRINCIPAL FINANCIAL GROUP COMMON STOCK USD.01","0.40%","74251V102","2,655,235",
"RJF","RAYMOND JAMES FINANCIAL INC COMMON STOCK USD.01","0.39%","754730109","1,283,636",
"HBAN","HUNTINGTON BANCSHARES INC COMMON STOCK USD.01","0.38%","446150104","10,653,829",
"L","LOEWS CORP COMMON STOCK USD.01","0.32%","540424108","2,377,440",
"LNC","LINCOLN NATIONAL CORP COMMON STOCK","0.30%","534187109","1,889,868",
"CBOE","CBOE GLOBAL MARKETS INC COMMON STOCK","0.29%","12503M108","1,122,825",
"WRB","WR BERKLEY CORP COMMON STOCK USD.2","0.27%","084423102","1,467,519",
"RE","EVEREST RE GROUP LTD COMMON STOCK USD.01","0.26%","G3223R108","418,878",
"CMA","COMERICA INC COMMON STOCK USD5.0","0.26%","200340107","1,457,428",
"GL","GLOBE LIFE INC COMMON STOCK USD1.0","0.24%","37959E102","995,310",
"IVZ","INVESCO LTD COMMON STOCK USD.2","0.24%","G491BT108","3,942,475",
"ZION","ZIONS BANCORP NA COMMON STOCK USD.001","0.23%","989701107","1,719,746",
"BEN","FRANKLIN RESOURCES INC COMMON STOCK USD.1","0.22%","354613101","2,858,333",
"AIZ","ASSURANT INC COMMON STOCK USD.01","0.22%","04621X108","606,470",
"PBCT","PEOPLE S UNITED FINANCIAL COMMON STOCK USD.01","0.19%","712704105","4,456,511",
"UNM","UNUM GROUP COMMON STOCK USD.1","0.15%","91529Y106","2,133,721",
"","STATE STREET INSTITUTIONAL LIQ STATE ST INST LIQ RES PREM","0.05%","964WKM905","22,774,472",
"","US DOLLAR","0.01%","999USDZ92","3,461,343",
