"Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021",
"Symbol","Company Name","Weight","Identifier","Shares Held",
"HON","HONEYWELL INTERNATIONAL INC COMMON STOCK USD1.0","4.96%","438516106","4,512,483",
"UPS","UNITED PARCEL SERVICE CL B COMMON STOCK USD.01","4.95%","911312106","4,668,468",
"UNP","UNION PACIFIC CORP COMMON STOCK USD2.5","4.81%","907818108","4,346,139",
"CAT","CATERPILLAR INC COMMON STOCK USD1.0","4.17%","149123101","3,537,974",
"RTX","RAYTHEON TECHNOLOGIES CORP COMMON STOCK USD1.0","4.06%","75513E101","9,858,681",
"BA","BOEING CO/THE COMMON STOCK USD5.0","3.89%","097023105","3,559,597",
"DE","DEERE + CO COMMON STOCK USD1.0","3.78%","244199105","2,033,636",
"MMM","3M CO COMMON STOCK USD.01","3.76%","88579Y101","3,757,202",
"GE","GENERAL ELECTRIC CO COMMON STOCK USD.06","3.63%","369604103","56,888,429",
"LMT","LOCKHEED MARTIN CORP COMMON STOCK USD1.0","3.05%","539830109","1,599,323",
"CSX","CSX CORP COMMON STOCK USD1.0","2.45%","126408103","4,947,440",
"FDX","FEDEX CORP COMMON STOCK USD.1","2.36%","31428X106","1,582,351",
"NSC","NORFOLK SOUTHERN CORP COMMON STOCK USD1.0","2.31%","655844108","1,634,353",
"ITW","ILLINOIS TOOL WORKS COMMON STOCK USD.01","2.19%","452308109","1,869,568",
"ETN","EATON CORP PLC COMMON STOCK USD.01","1.85%","G29183103","2,583,011",
"NOC","NORTHROP GRUMMAN CORP COMMON STOCK USD1.0","1.83%","666807102","1,006,018",
"EMR","EMERSON ELECTRIC CO COMMON STOCK USD.5","1.81%","291011104","3,893,142",
"WM","WASTE MANAGEMENT INC COMMON STOCK USD.01","1.76%","94106L109","2,525,946",
"JCI","JOHNSON CONTROLS INTERNATION COMMON STOCK USD.01","1.48%","G51502105","4,673,193",
"ROP","ROPER TECHNOLOGIES INC COMMON STOCK USD.01","1.46%","776696106","680,859",
"LHX","L3HARRIS TECHNOLOGIES INC COMMON STOCK USD1.0","1.41%","502431109","1,333,795",
"GD","GENERAL DYNAMICS CORP COMMON STOCK USD1.0","1.41%","369550108","1,504,372",
"TT","TRANE TECHNOLOGIES PLC COMMON STOCK USD1.0","1.38%","G8994E103","1,547,042",
