"Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021",
"Symbol","Company Name","Weight","Identifier","Shares Held",
"PG","PROCTER + GAMBLE CO/THE COMMON STOCK","15.85%","742718109","12,617,579",
"KO","COCA COLA CO/THE COMMON STOCK USD.25","9.88%","191216100","19,872,549",
"PEP","PEPSICO INC COMMON STOCK USD.017","9.44%","713448108","7,068,980",
"WMT","WALMART INC COMMON STOCK USD.1","8.96%","931142103","7,103,487",
"COST","COSTCO WHOLESALE CORP COMMON STOCK USD.005","4.81%","22160K105","1,390,409",
"MDLZ","MONDELEZ INTERNATIONAL INC A COMMON STOCK","4.69%","609207105","8,243,231",
"PM","PHILIP MORRIS INTERNATIONAL COMMON STOCK","4.67%","718172109","5,248,827",
"MO","ALTRIA GROUP INC COMMON STOCK USD.333","4.35%","02209S103","9,523,699",
"CL","COLGATE PALMOLIVE CO COMMON STOCK USD1.0","3.76%","194162103","4,953,517",
"EL","ESTEE LAUDER COMPANIES CL A COMMON STOCK USD.01","3.56%","518439104","1,341,088",
"KMB","KIMBERLY CLARK CORP COMMON STOCK USD1.25","2.41%","494368103","1,973,128",
"SYY","SYSCO CORP COMMON STOCK USD1.0","2.26%","871829107","2,979,586",
"STZ","CONSTELLATION BRANDS INC A COMMON STOCK USD.01","2.09%","21036P108","992,513",
"GIS","GENERAL MILLS INC COMMON STOCK USD.1","2.08%","370334104","3,569,309",
"WBA","WALGREENS BOOTS ALLIANCE INC COMMON STOCK USD.01","2.07%","931427108","4,186,444",
"ADM","ARCHER DANIELS MIDLAND CO COMMON STOCK","2.00%","039483102","3,259,701",
"MNST","MONSTER BEVERAGE CORP COMMON STOCK","1.76%","61174X109","2,158,104",
"KHC","KRAFT HEINZ CO/THE COMMON STOCK USD.01","1.51%","500754106","3,784,358",
"KR","KROGER CO COMMON STOCK USD1.0","1.49%","501044101","4,444,424",
"HSY","HERSHEY CO/THE COMMON STOCK USD1.0","1.34%","427866108","855,507",
"TSN","TYSON FOODS INC CL A COMMON STOCK USD.1","1.26%","902494103","1,720,399",
"CLX","CLOROX COMPANY COMMON STOCK USD1.0","1.22%","189054109","734,293",
"MKC","MCCORMICK + CO NON VTG SHRS COMMON STOCK","1.20%","579780206","1,453,214",
"CHD","CHURCH + DWIGHT CO INC COMMON STOCK USD1.0","1.16%","171340102","1,430,679",
"CAG","CONAGRA BRANDS INC COMMON STOCK USD5.0","0.99%","205887102","2,848,177",
"K","KELLOGG CO COMMON STOCK USD.25","0.92%","487836108","1,483,717",
"SJM","JM SMUCKER CO/THE COMMON STOCK","0.79%","832696405","638,853",
"BF.B","BROWN FORMAN CORP CLASS B COMMON STOCK USD.15","0.75%","115637209","1,064,726",
"HRL","HORMEL FOODS CORP COMMON STOCK USD.01465","0.71%","440452100","1,637,314",
"LW","LAMB WESTON HOLDINGS INC COMMON STOCK USD1.0","0.61%","513272104","853,209",
"TAP","MOLSON COORS BEVERAGE CO   B COMMON STOCK USD.01","0.58%","60871R209","1,097,337",
"CPB","CAMPBELL SOUP CO COMMON STOCK USD.0375","0.53%","134429109","1,183,198",
"","STATE STREET INSTITUTIONAL LIQ STATE ST INST LIQ RES PREM","0.13%","964WKM905","13,922,144",
"","US DOLLAR","0.03%","999USDZ92","3,231,493",
