"Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021",
"Symbol","Company Name","Weight","Identifier","Shares Held",
"AMT","AMERICAN TOWER CORP REIT USD.01","12.69%","03027X100","1,501,895",
"PLD","PROLOGIS INC REIT USD.01","9.62%","74340W103","2,447,170",
"CCI","CROWN CASTLE INTL CORP REIT USD.01","8.88%","22822V101","1,427,267",
"EQIX","EQUINIX INC REIT USD.001","7.32%","29444U700","295,425",
"DLR","DIGITAL REALTY TRUST INC REIT USD.01","4.80%","253868103","930,248",
"PSA","PUBLIC STORAGE REIT USD.1","4.77%","74460D109","503,165",
"SPG","SIMON PROPERTY GROUP INC REIT USD.0001","4.44%","828806109","1,086,991",
"SBAC","SBA COMMUNICATIONS CORP REIT USD.01","3.55%","78410G104","361,720",
"WELL","WELLTOWER INC REIT USD1.0","3.45%","95040Q104","1,380,962",
"CBRE","CBRE GROUP INC   A COMMON STOCK USD.01","3.32%","12504L109","1,110,409",
"WY","WEYERHAEUSER CO REIT USD1.25","3.27%","962166104","2,474,113",
"AVB","AVALONBAY COMMUNITIES INC REIT USD.01","3.14%","053484101","461,681",
"EQR","EQUITY RESIDENTIAL REIT USD.01","2.90%","29476L107","1,134,343",
"O","REALTY INCOME CORP REIT USD1.0","2.77%","756109104","1,235,356",
"ARE","ALEXANDRIA REAL ESTATE EQUIT REIT USD.01","2.52%","015271109","420,630",
"VTR","VENTAS INC REIT USD.25","2.30%","92276F100","1,239,520",
"EXR","EXTRA SPACE STORAGE INC REIT USD.01","2.19%","30225T102","436,790",
"ESS","ESSEX PROPERTY TRUST INC REIT USD.0001","2.14%","297178105","215,046",
"MAA","MID AMERICA APARTMENT COMM REIT USD.01","2.04%","59522J103","378,400",
"PEAK","HEALTHPEAK PROPERTIES INC REIT USD1.0","2.01%","42250P103","1,782,046",
"DRE","DUKE REALTY CORP REIT USD.01","1.91%","264411505","1,238,274",
"BXP","BOSTON PROPERTIES INC REIT USD.01","1.72%","101121101","469,683",
"UDR","UDR INC REIT USD.01","1.56%","902653104","981,779",
"IRM","IRON MOUNTAIN INC REIT USD.01","1.38%","46284V101","953,959",
"HST","HOST HOTELS + RESORTS INC REIT USD.01","1.35%","44107P104","2,332,991",
"REG","REGENCY CENTERS CORP REIT USD.01","1.14%","758849103","522,669",
"KIM","KIMCO REALTY CORP REIT USD.01","1.04%","49446R109","1,433,065",
"FRT","FEDERAL REALTY INVS TRUST REIT USD.01","0.89%","313747206","231,325",
"VNO","VORNADO REALTY TRUST REIT USD.04","0.81%","929042109","520,768",
"","US DOLLAR","0.01%","999USDZ92","280,004",
"","STATE STREET INSTITUTIONAL LIQ STATE ST INST LIQ RES PREM","0.00%","964WKM905","23,085",
